PostalCode,Borough,Neighborhood,Latitude,Longitude
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.784820000000025,-79.29638134599998
M4T,Central Toronto,"Moore Park, Summerhill East",43.69047500000005,-79.38331438099993
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65361500000006,-79.39726768999998
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.817810000000065,-79.28024362199994
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.685752267000055,-79.40203499999996
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.64081500000003,-79.39818424499998
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.60987000000006,-79.49809424799997
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.743705000000034,-79.58529202099999
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.800773598000035,-79.32096999999999
M4W,Downtown Toronto,Rosedale,43.68190000000004,-79.37728833299997
M5W,Downtown Toronto Stn A,Enclave of M5E,43.648690000000045,-79.38543999999996
M8W,Etobicoke,"Alderwood, Long Branch",43.60073500000004,-79.54173445599997
M9W,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.712090000000046,-79.57854485999997
M1X,Scarborough,Upper Rouge,43.833975000000066,-79.21664209399995
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667880000000025,-79.36649097399999
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.64797500000003,-79.38144465399995
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65322000000003,-79.51114063099999
M4Y,Downtown Toronto,Church and Wellesley,43.666585000000055,-79.38132950399995
M7Y,East Toronto Business,Enclave of M4L,43.648690000000045,-79.38543999999996
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.632985000000076,-79.48967600799995
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.625170000000026,-79.52703239099998
